"Qualify","資格"
"Your item is qualified.","您的商品符合條件"
"Offer Price","提供價錢"
"Accept The Offer ?","接受報價"
"Not Qualify","不合資格"
"Your item is not qualified.","您的商品不合資格"
"New Offer Price","提供新報價"
"Our team will contact you","有關人員會與您聯繫"
"Customer Accepted Offer","客戶接受報價"
"Customer Not Accepted Offer","客戶不接受報價"
"Admin Offer Consignment","管理部提拱發貨"
"Do You want Consignment Offer ?","你想要寄售報價嗎"
"Not Happy with our Consignment Offer, Please feel free to connect with our Diamond Specialist.","對我們寄售報價不滿意，請隨時與我們鑽石專家聯繫。"
"Customer Not Accepted Consignment","客戶不接受寄售"
"Thanks for Accepting Consignment offer, Our team will contact you.","感謝您接受寄售報價，有關人員會將與您聯繫"
"Inspection Not Passed","檢查未通過"
"Pay for return shipping","支付退貨運費"
"Return Shipping Address:","退貨地址"
"You have not set a default pickup address.","您未設置默認取件地址"
"Use above address for return shipping","使用上述地址退貨"
"Please add return shipping address","請加退貨地址"
"Add Address","請加地址"
"How to trade in the item ?","如何交易物品"
"In Person","親自上門"
"Appointment:","預約"
"Make an Appointment","預約時間"
"PickUp Details:","收貨詳情"
"Use above address to pickup items","使用以上地址取貨"
"Your Appointment is confirmed","您的預約已確認"
"Appointment Date:","約會日期"
"Make Changes?","需要更改?"
"Reschedule Appointment","更改預約"
"Cancel Appointment","取消預約"
"Are you sure you want to cancel the appointment?","確定要取消約會嗎？"
"Jewellery Type","首飾類型"
"Mobile","手機號碼"
"GIA / IGI Certified Stone?","GIA / IGI 認證石?""
"Questions &amp; Answers","問題和答案"
"Trade for Cash","現金回收"
